6072,LOTOM
6080,HITOM
6088,LOTOM
6096,HITOM
6104,HIHAT+LOTOM
6112,HIHAT+SNARE
6120,
6128,FLTOM
6136,
6144,HITOM+BASS
6152,LOTOM
6160,HITOM
6168,LOTOM+FLTOM
6176,SNARE+FLTOM
6184,
6192,HITOM+BASS
6200,LOTOM
6208,HITOM
6216,LOTOM
6224,HITOM
6232,LOTOM
6240,CYMBAL+SNARE+BASS
6248,SNARE+FLTOM
6256,HITOM
6264,HITOM
6272,HITOM+BASS
6280,LOTOM
6288,HITOM
6296,LOTOM+FLTOM
6304,SNARE+FLTOM
6312,
6320,HITOM+BASS
6328,LOTOM
6336,HITOM
6344,LOTOM
6352,HITOM
6360,HIHAT+LOTOM
6368,HIHAT+SNARE
6376,
6384,FLTOM
6392,
6400,HITOM+BASS
6408,LOTOM
6416,HITOM
6424,LOTOM+FLTOM
6432,SNARE+FLTOM
6440,
6448,HITOM+BASS
6456,LOTOM
6464,HITOM
6472,LOTOM
6480,HITOM
6488,HIHAT+LOTOM
6496,HIHAT+SNARE
6504,
6512,FLTOM
6520,
6528,HITOM+BASS
6536,LOTOM
6544,HITOM
6552,LOTOM+FLTOM
6560,SNARE+FLTOM
6568,
6576,HITOM+BASS
6584,LOTOM
6592,HITOM
6600,LOTOM
6608,HITOM
6616,HIHAT+LOTOM
6624,HIHAT+SNARE
6632,
6640,FLTOM
6648,
6656,HITOM+BASS
6664,LOTOM
6672,HITOM
6680,LOTOM+FLTOM
6688,SNARE+FLTOM
6696,
6704,HITOM+BASS
6712,LOTOM
6720,HITOM
6728,LOTOM
6736,HITOM
6744,LOTOM
6752,CYMBAL+SNARE+BASS
6760,SNARE+FLTOM
6768,HITOM
6776,HITOM
6784,HITOM+BASS
6792,LOTOM
6800,HITOM
6808,LOTOM+FLTOM
6816,SNARE+FLTOM
6824,
6832,HITOM+BASS
6840,LOTOM
6848,HITOM
6856,LOTOM
6864,HITOM
6872,HIHAT+LOTOM
6880,HIHAT+SNARE
6888,
6896,FLTOM
6904,
6912,HITOM+BASS
6920,LOTOM
6928,HITOM
6936,LOTOM+FLTOM
6944,SNARE+FLTOM
6952,
6960,HITOM+BASS
6968,LOTOM
6976,HITOM
6984,LOTOM
6992,HITOM
7000,HIHAT+LOTOM
7008,HIHAT+SNARE
7016,
7024,FLTOM
7032,
7040,HITOM+BASS
7048,LOTOM
7056,HITOM
7064,LOTOM+FLTOM
7072,SNARE+FLTOM
7080,
7088,HITOM+BASS
7096,LOTOM
7104,HITOM
7112,LOTOM
7120,HITOM
7128,HIHAT+LOTOM
7136,HIHAT+SNARE
7144,
7152,FLTOM
7160,
7168,HITOM+BASS
7176,LOTOM
7184,HITOM
7192,LOTOM+FLTOM
7200,SNARE+FLTOM
7208,
7216,HITOM+BASS
7224,LOTOM
7232,HITOM
7240,LOTOM
7248,HITOM
7256,LOTOM
7264,CYMBAL+SNARE+BASS
7272,SNARE+FLTOM
7280,HITOM
7288,HITOM
7296,HITOM+BASS
7304,LOTOM
7312,HITOM
7320,LOTOM+FLTOM
7328,SNARE+FLTOM
7336,
7344,HITOM+BASS
7352,LOTOM
7360,HITOM
7368,LOTOM
7376,HITOM
7384,HIHAT+LOTOM
7392,HIHAT+SNARE
7400,
7408,FLTOM
7416,
7424,HITOM+BASS
7432,LOTOM
7440,HITOM
7448,LOTOM+FLTOM
7456,SNARE+FLTOM
7464,
7472,HITOM+BASS
7480,LOTOM
7488,HITOM
7496,LOTOM
7504,HITOM
7512,HIHAT+LOTOM
7520,HIHAT+SNARE
7528,
7536,FLTOM
7544,
7552,HITOM+BASS
7560,LOTOM
7568,HITOM
7576,LOTOM+FLTOM
7584,SNARE+FLTOM
7592,
7600,HITOM+BASS
7608,LOTOM
7616,HITOM
7624,LOTOM
7632,HITOM
7640,HIHAT+LOTOM
7648,HIHAT+SNARE
7656,
7664,FLTOM
7672,
7680,HITOM+BASS
7688,LOTOM
7696,HITOM
7704,LOTOM+FLTOM
7712,SNARE+FLTOM
7720,
7728,HITOM+BASS
7736,LOTOM
7744,HITOM
7752,LOTOM
7760,HITOM
7768,LOTOM
7776,CYMBAL+SNARE+BASS
7784,SNARE+FLTOM
7792,HITOM
7800,HITOM
7808,HITOM+BASS
7816,LOTOM
7824,HITOM
7832,LOTOM+FLTOM
7840,SNARE+FLTOM
7848,
7856,HITOM+BASS
7864,LOTOM
7872,HITOM
7880,LOTOM
7888,HITOM
7896,HIHAT+LOTOM
7904,HIHAT+SNARE
7912,
7920,FLTOM
7928,
7936,HITOM+BASS
7944,LOTOM
7952,HITOM
7960,LOTOM+FLTOM
7968,SNARE+FLTOM
7976,
7984,HITOM+BASS
7992,LOTOM
8000,HITOM
8008,LOTOM
8016,HITOM
8024,HIHAT+LOTOM
8032,HIHAT+SNARE
8040,
8048,FLTOM
8056,
8064,HITOM+BASS
8072,LOTOM
8080,HITOM
8088,LOTOM+FLTOM
8096,SNARE+FLTOM
8104,
8112,HITOM+BASS
8120,LOTOM
8128,HITOM
8136,LOTOM
8144,HITOM
8152,HIHAT+LOTOM
8160,HIHAT+SNARE
8168,
8176,FLTOM
8184,
8192,HITOM+BASS
8200,LOTOM
8208,HITOM
8216,LOTOM+FLTOM
8224,SNARE+FLTOM
8232,
8240,HITOM+BASS
8248,LOTOM
8256,HITOM
8264,LOTOM
8272,HITOM
8280,LOTOM
8288,CYMBAL+SNARE+BASS
8296,SNARE+FLTOM
8304,HITOM
8312,HITOM
8320,HITOM+BASS
8328,LOTOM
8336,HITOM
8344,LOTOM+FLTOM
8352,SNARE+FLTOM
8360,
8368,HITOM+BASS
8376,LOTOM
8384,HITOM
8392,LOTOM
8400,HITOM
8408,HIHAT+LOTOM
8416,HIHAT+SNARE
8424,
8432,FLTOM
8440,
8448,HITOM+BASS
8456,LOTOM
8464,HITOM
8472,LOTOM+FLTOM
8480,SNARE+FLTOM
8488,
8496,HITOM+BASS
8504,LOTOM
8512,HITOM
8520,LOTOM
8528,HITOM
8536,HIHAT+LOTOM
8544,HIHAT+SNARE
8552,
8560,FLTOM
8568,
8576,HITOM+BASS
8584,LOTOM
8592,HITOM
8600,LOTOM+FLTOM
8608,SNARE+FLTOM
8616,
8624,HITOM+BASS
8632,LOTOM
8640,HITOM
8648,LOTOM
8656,HITOM
8664,HIHAT+LOTOM
8672,HIHAT+SNARE
8680,
8688,FLTOM
8696,
8704,HITOM+BASS
8712,LOTOM
8720,HITOM
8728,LOTOM+FLTOM
8736,SNARE+FLTOM
8744,
8752,HITOM+BASS
8760,LOTOM
8768,HITOM
8776,LOTOM
8784,HITOM
8792,LOTOM
8800,CYMBAL+SNARE+BASS
8808,SNARE+FLTOM
8816,HITOM
8824,HITOM
8832,HITOM+BASS
8840,LOTOM
8848,HITOM
8856,LOTOM+FLTOM
8864,SNARE+FLTOM
8872,
8880,HITOM+BASS
8888,LOTOM
8896,HITOM
8904,LOTOM
8912,HITOM
8920,HIHAT+LOTOM
8928,HIHAT+SNARE
8936,
8944,FLTOM
8952,
8960,HITOM+BASS
8968,LOTOM
8976,HITOM
8984,LOTOM+FLTOM
8992,SNARE+FLTOM
9000,
9008,HITOM+BASS
9016,LOTOM
9024,HITOM
9032,LOTOM
9040,HITOM
9048,HIHAT+LOTOM
9056,HIHAT+SNARE
